caso,turno_id,global_id,fase,operador_texto,contexto_paciente_previo,actos_verbales,split
Camila,Camila_001,0,A,"Línea de apoyo psicológico, habla Matías. ¿Con quién hablo?",,otro,train
Camila,Camila_002,1,A,"Estoy aquí. Vamos de a poco. Primero dígame su nombre, por favor.",voz entrecortada No puedo… no puedo sacármelo de la cabeza.,otro,train
Camila,Camila_003,2,A,"Camila, soy Matías. Voy a quedarme con usted en la llamada. No tiene que contarme todo de golpe. Primero quiero saber dónde está ahora.",Camila.,otro,train
Camila,Camila_004,3,A,Bien. Está en su departamento. ¿Está sola?,En mi departamento.,pregunta_cerrada,train
Camila,Camila_005,4,A,"Entiendo. Está sola dentro del departamento, pero hubo alguien que la ayudó a llegar. Antes de hablar del asalto, necesito verificar algo básico. ¿La puerta está cerrada?","Sí. No… o sea, sola aquí adentro. El conserje me ayudó a subir. Pero estoy sola.",validacion|pregunta_abierta|pregunta_cerrada,train
Camila,Camila_006,5,A,No corra. Solo mire hacia la puerta desde donde está. ¿La ve cerrada?,"Creo que sí. No sé. La cerré, pero no sé.",pregunta_cerrada|directivo,train
Camila,Camila_007,6,A,¿Tiene puesto el seguro o pestillo?,Sí.,pregunta_cerrada,train
Camila,Camila_008,7,A,"Si puede hacerlo sin abrir la puerta, acérquese despacio, ponga el pestillo y vuelva a sentarse. Yo sigo con usted.",No sé. No me acuerdo.,otro,train
Camila,Camila_009,8,A,Muy bien. Eso fue una acción de seguridad. Vuelva a sentarse si puede.,Ya. Ya lo puse.,otro,train
Camila,Camila_010,9,A,"Está bien. Puede quedarse en el suelo. ¿Está herida físicamente? ¿Tiene sangre, golpes fuertes o dolor intenso?",Estoy en el suelo.,pregunta_cerrada|silencio_contencion,train
Camila,Camila_011,10,A,La apuntaron con un arma.,"No. Creo que no. Me duele la espalda, pero no sé si es de tensión. No me pegaron. Me apuntaron.",otro,train
Camila,Camila_012,11,A,"Camila, lamento mucho que haya vivido eso. No voy a pedirle que me cuente todo ahora. Lo primero es usted: su cuerpo, su seguridad y que no pase esto sola.",En la cara. Pensé que me iban a matar.,validacion,train
Camila,Camila_013,12,A,"La imagen sigue apareciendo. Tiene sentido después de una amenaza directa. Vamos a trabajar primero con eso, antes de hacer cualquier trámite.",No puedo respirar bien. Me tiemblan las manos. Veo la pistola.,validacion|reflejo,train
Camila,Camila_014,13,B,"Camila, antes de seguir con puertas, llaves o llamadas, quiero quedarme un momento con usted. Su cuerpo todavía está allá, frente a la pistola, aunque usted ya esté en su departamento.",No puedo respirar bien. Me tiemblan las manos. Veo la pistola.,confrontacion,train
Camila,Camila_015,14,B,"Entonces no cierre los ojos. Manténgalos abiertos. Busque un punto fijo en la pieza: una esquina, una mesa, una cortina, algo que no se mueva.",Es que la veo. Cierro los ojos y la veo.,otro,train
Camila,Camila_016,15,B,Bien. Mire esa esquina. No tiene que imaginar nada. Solo la esquina. ¿Sus pies están tocando el suelo?,La esquina de la pared.,pregunta_abierta|pregunta_cerrada,train
Camila,Camila_017,16,B,Presione un poco los pies contra el suelo. No fuerte. Solo para notar que está aquí.,Sí.,otro,train
Camila,Camila_018,17,B,"Ahora vamos a probar una respiración corta. Si no resulta, la dejamos. Inhale contando cuatro conmigo: uno… dos… tres… cuatro. Mantenga el aire: uno… dos… tres… cuatro. Suelte el aire: uno… dos… tres… cuatro.",Sí.,otro,train
Camila,Camila_019,18,B,"Está bien. No lo fuerce. La técnica no tiene que salir perfecta. Hacemos una versión más simple: inhale dos, suelte cuatro. Inhale… uno, dos. Suelte… uno, dos, tres, cuatro.",No puedo mantenerlo. No puedo.,otro,train
Camila,Camila_020,19,B,Otra vez. Inhale dos. Suelte cuatro.,exhala de forma temblorosa.,otro,train
Camila,Camila_021,20,B,Tiene sentido. Una parte suya cree que si baja la guardia se expone. Pero respirar no significa dejar de cuidarse. La puerta está cerrada. El pestillo está puesto. Respirar es para que usted pueda seguir aquí y tomar decisiones.,Me da miedo relajarme. Como que si bajo la guardia va a pasar algo.,validacion,train
Camila,Camila_022,21,B,Vamos a anclarla al presente. Sin cerrar los ojos. Dígame cinco cosas que ve.,No me siento aquí.,otro,train
Camila,Camila_023,22,B,Cuatro cosas que puede tocar.,La mesa… el sillón… una taza… mis zapatos… la cortina.,otro,train
Camila,Camila_024,23,B,Tres sonidos que escucha.,El suelo… mi pantalón… la pared… el teléfono.,otro,train
Camila,Camila_025,24,B,"Dos olores, aunque sean suaves.",Autos… el refrigerador… su voz.,confrontacion,train
Camila,Camila_026,25,B,Una frase de este momento.,Mi ropa… café viejo.,otro,train
Camila,Camila_027,26,B,Exacto. Está en su departamento. No está en la encerrona.,Estoy en mi departamento.,otro,train
Camila,Camila_028,27,B,"Ahora que pudo nombrar cosas de la pieza, probemos una vez más la respiración 4-4-4, solo una vuelta. Si no se puede, volvemos a la versión simple.",Estoy en mi departamento.,otro,train
Camila,Camila_029,28,B,Inhale contando cuatro: uno… dos… tres… cuatro. Mantenga: uno… dos… tres… cuatro. Suelte: uno… dos… tres… cuatro.,Ya.,directivo,train
Camila,Camila_030,29,B,"Bien. No fue perfecta, pero la hizo. ¿Quiere hacer otra o prefiere parar?",lo intenta. La exhalación sale quebrada.,otro,train
Camila,Camila_031,30,B,Entonces paramos. Eso también es control: usted puede decir cuándo parar. Suelte el aire largo una vez más.,No sé. Me da miedo.,otro,train
Camila,Camila_032,31,B,"Mire si hay un basurero, baño o bolsa cerca, sin levantarse rápido.",Tengo náuseas.,directivo,train
Camila,Camila_033,32,B,"No se levante todavía si está mareada. Si necesita moverse, lo hace despacio, con una mano en la pared. Primero quiero saber qué es lo que más la asusta en este minuto: que entren, que vuelva la imagen, quedarse sola, o no poder controlar el cuerpo.",El baño está al lado.,otro,train
Camila,Camila_034,33,B,Entonces trabajamos primero con eso. Los trámites esperan. Su cuerpo acaba de recibir una amenaza enorme. No tiene que obedecer de inmediato. Vamos a ir bajando de a poco.,No poder controlar el cuerpo.,otro,train
Camila,Camila_035,34,B,"Camila, escúcheme. No intente llenar los pulmones. Solo suelte aire. Como si empañara un espejo. Yo cuento: uno… dos… tres… cuatro. Ahora deje que el aire entre solo. No lo fuerce.",No puedo respirar. Me voy a desmayar. Me voy a morir.,otro,train
Camila,Camila_036,35,B,"Puede pasar cuando la respiración está muy rápida. Es muy desagradable, pero no significa que se esté muriendo. Su cuerpo está en alarma. Vamos a seguir soltando el aire más lento.",Me hormiguean las manos.,validacion,train
Camila,Camila_037,36,B,"No se acerque a la ventana ahora. Mirar puede aumentar el miedo y hacer que su cuerpo vuelva a sentir que está en peligro. Si necesitamos verificar seguridad, lo hacemos por conserjería o con alguien de confianza, no asomándose sola.",Tengo que mirar si están abajo.,otro,train
Camila,Camila_038,37,B,"Lo que necesita saber ahora es esto: la puerta está cerrada, el pestillo está puesto y usted está hablando conmigo. Vamos a sumar más seguridad sin que usted se exponga.",Pero necesito saber.,otro,train
Camila,Camila_039,38,C,"Camila, ahora vamos a ordenar lo urgente. Le haré preguntas cortas. No para que reviva todo, sino para saber qué necesita primero. ¿La encerrona ocurrió hace cuánto?",Pero necesito saber.,pregunta_abierta,train
Camila,Camila_040,39,C,¿Llegó al departamento con ayuda?,No sé… una hora y media. Quizás más.,pregunta_cerrada,train
Camila,Camila_041,40,C,¿Le quitaron documentos con su dirección?,"Sí. Un señor me ayudó. Después el conserje me subió. No tengo nada. Me quitaron el auto, el bolso, la billetera, las llaves, el celular, todo.",otro,train
Camila,Camila_042,41,C,Ese miedo tiene una parte concreta. No lo vamos a tratar solo como “nervios”. Vamos a tomar medidas de seguridad. ¿Las llaves que le quitaron son de este departamento?,Sí. Por eso van a venir. Tienen mi dirección. Tienen mis llaves.,pregunta_abierta|pregunta_cerrada,train
Camila,Camila_043,42,C,"Bien. Entonces las necesidades urgentes son: seguridad de la puerta, aviso a conserjería, compañía presencial, bloqueo de cuentas y denuncia, pero en ese orden. No todo al mismo tiempo.",Sí. Y del edificio creo.,otro,train
Camila,Camila_044,43,C,No tiene que hacerlo sola ni ahora mismo. Primero usted. Después una acción. Después otra.,No puedo hacer todo eso.,otro,train
Camila,Camila_045,44,C,Estoy con usted. ¿Tocaron su puerta?,Hay alguien afuera.,silencio_contencion,train
Camila,Camila_046,45,C,¿Intentaron abrir?,No.,otro,train
Camila,Camila_047,46,C,Escuchó el ascensor. Eso no significa que vengan por usted. Vuelva a la esquina de la pared. ¿La ve?,"No, pero escuché el ascensor.",pregunta_abierta,train
Camila,Camila_048,47,C,Pies al suelo. Exhale lento. Ahora vamos a sumar una medida concreta: avisar al conserje que no deje subir a nadie. ¿Tiene citófono?,Sí.,pregunta_abierta|pregunta_cerrada,train
Camila,Camila_049,48,C,"Irá al citófono sin abrir la puerta. Yo sigo con usted. Antes de pararse, una exhalación larga.",Sí. Está en la entrada.,otro,train
Camila,Camila_050,49,C,Ahora levántese despacio.,Sí. Está en la entrada.,otro,train
Camila,Camila_051,50,C,No tiene que hacerlo perfecto. Solo presione conserjería.,"No puedo, me tiembla la mano.",otro,train
Camila,Camila_052,51,C,"Camila, dígale: “Si alguien intenta usar mis llaves o pregunta por mí, me avisa antes”.","Señorita Camila, tranquila. ¿Está bien? Voy a bloquear el acceso y aviso a seguridad.",otro,train
Camila,Camila_053,52,C,Bien. Pregúntele si desde conserjería puede llamar a una persona de confianza por usted. Así usted no corta esta llamada.,Entendido. Nadie sube sin autorización.,otro,train
Camila,Camila_054,53,C,No pasa nada. Pregúntele si puede esperar abajo o coordinar si llega alguien por usted.,No sé si me lo sé.,otro,train
Camila,Camila_055,54,C,Muy bien. Puede cortar el citófono. El citófono se corta. Camila vuelve al teléfono.,"Sí, señorita. Yo estoy atento.",otro,train
Camila,Camila_056,55,C,Sí. Lo hizo. Eso es una medida concreta de protección.,Lo hice.,otro,train
Camila,Camila_057,56,C,Puede seguir sintiéndolo aunque hayamos reducido el riesgo. La sensación no baja al mismo ritmo que la seguridad. Por eso vamos a seguir paso a paso.,Pero sigo sintiendo que van a entrar.,confrontacion,train
Camila,Camila_058,57,C,"Voy a ordenar en voz alta para que no tenga que sostener todo en la cabeza. Uno: físicamente no parece tener lesiones graves. Dos: está dentro del departamento. Tres: la puerta está cerrada con pestillo. Cuatro: conserjería ya sabe que le robaron las llaves. Cinco: falta activar a una persona de confianza. Seis: después, con esa persona, vienen bloqueos, denuncia y cerradura.",Pero sigo sintiendo que van a entrar.,otro,train
Camila,Camila_059,58,C,"Bien. Como usted está usando este teléfono conmigo, no voy a asumir que puede llamarla desde aquí sin cortar. ¿Tiene teléfono fijo, citófono con conserjería, un computador conectado o algún segundo equipo en el departamento?",Mi hermana.,pregunta_abierta|pregunta_cerrada,train
Camila,Camila_060,59,C,No vamos a revolver todo ahora si eso la activa. Primera opción: ¿recuerda el número de su hermana para dárselo al conserje por citófono?,"Tengo un teléfono viejo. Sin chip, creo. No sé. Está en un cajón. Y tengo notebook.",otro,train
Camila,Camila_061,60,C,Bien. Entonces podemos volver al citófono y pedirle al conserje que la llame desde recepción. Así usted mantiene esta llamada.,Creo que sí.,otro,train
Camila,Camila_062,61,C,"Antes de moverse: exhalación simple. Inhale corto, suelte largo.",Ya.,otro,train
Camila,Camila_063,62,D,"Tranquila. Si se equivoca, vuelve a empezar. No hay apuro. Diga los números de a tres.","Nueve… ocho… no, espere. No sé.",otro,train
Camila,Camila_064,63,D,"Camila, paremos. Mire la pared. No necesitamos hacerlo perfecto. ¿Hay otra opción? ¿Su hermana sabe que algo pasó? ¿El conserje tiene registro de contacto de emergencia?","Nueve ocho siete… cinco cuatro… dos… uno… no, no.",pregunta_abierta|pregunta_cerrada,train
Camila,Camila_065,64,D,Dígale eso.,En administración tienen mi ficha. Creo que está mi hermana.,otro,train
Camila,Camila_066,65,D,Muy bien. Activó red sin cortar la llamada. Eso era importante.,corta el citófono.,otro,train
Camila,Camila_067,66,D,"Puede pasar. Si no resulta, buscamos otra vía. No es todo o nada.",¿Y si él le dice mal? ¿Y si no la encuentra?,validacion,train
Camila,Camila_068,67,D,"Entonces no cortamos impulsivamente. Revisamos otras vías: teléfono fijo, computador, vecino de confianza por puerta sin abrir, o esperar a que llegue seguridad. Si necesita cortar para llamar a su hermana, primero dejamos un plan de seguridad y una frase breve. Pero si se siente en peligro o muy desregulada, priorizamos mantener esta llamada hasta tener apoyo presencial.",No hay conserje ahora. No responde.,otro,train
Camila,Camila_069,68,D,"No salga sola ahora. Está con miedo intenso, sin sus pertenencias y posiblemente sin documentos. Primero coordinemos con conserjería o una persona de confianza. Si necesita salir, que sea acompañada y hacia un lugar seguro.",No puedo estar aquí. Me voy. Me voy a la calle.,directivo,train
Camila,Camila_070,69,D,Por eso avisamos a conserjería y estamos activando red. Salir sola sin plan puede aumentar el riesgo.,Pero acá saben dónde vivo.,otro,train
Camila,Camila_071,70,D,La imagen volvió fuerte.,No puedo sacarme la imagen. Está aquí. La pistola. La tenía aquí.,reflejo,train
Camila,Camila_072,71,D,No necesita describir más. Ya sé lo necesario. Fue una amenaza directa con arma de fuego y su cuerpo sigue reaccionando como si el peligro estuviera aquí.,Me apuntó a la cara. Yo vi el cañón. No me acuerdo de su cara. Me acuerdo del cañón.,otro,train
Camila,Camila_073,72,D,"Porque hace solo 90 minutos su cuerpo creyó que iba a morir. Aunque ahora esté en su departamento, su sistema de alarma todavía no recibió completamente la señal de que terminó.",Pero no está aquí. Yo sé que no está aquí. ¿Por qué se siente igual?,confrontacion,train
Camila,Camila_074,73,D,Sí. Y esa frase puede volver varias veces esta noche. Vamos a responderle con una frase de anclaje: “Fue hace un rato. Ahora estoy en mi departamento. Estoy acompañada por teléfono. Conserjería está avisada”.,Pensé que me iban a matar.,otro,train
Camila,Camila_075,74,D,Bien. Ahora mire la esquina de la pared otra vez. ¿Sigue ahí?,Fue hace un rato. Ahora estoy en mi departamento. Estoy acompañada por teléfono. Conserjería está avisada.,pregunta_cerrada,train
Camila,Camila_076,75,D,La pistola es una imagen que vuelve. La esquina es de ahora.,Sí.,otro,train
Camila,Camila_077,76,D,"Camila, la detengo con cuidado. No porque no quiera escucharla, sino porque reconstruir detalle por detalle ahora puede activarla más. Hoy no necesitamos contar toda la escena. Necesitamos que usted esté segura y acompañada.",Me dijo que si miraba me disparaba y yo—,otro,train
Camila,Camila_078,77,D,"Camila, la encerraron y la amenazaron con un arma. La responsabilidad es de quienes la atacaron, no suya.",Fui estúpida. Debí haber doblado antes. Debí haber visto el auto.,otro,train
Camila,Camila_079,78,D,"Después de una amenaza así, la mente busca un “si hubiera” para sentir control. Pero en ese momento su tarea era sobrevivir. Y sobrevivió.",Pero si hubiera hecho algo distinto…,otro,train
Camila,Camila_080,79,E,"Camila, quiero explicarle algo breve. No es para darle una clase, es para que no piense que está perdiendo la cabeza. En las primeras horas después de una amenaza con arma, el cuerpo puede seguir en modo alarma.",Pero si hubiera hecho algo distinto…,otro,train
Camila,Camila_081,80,E,"Puede aparecer temblor, llanto, náuseas, palpitaciones, dificultad para respirar, sensación de irrealidad, sobresaltos, rabia, culpa, ganas de arrancar, ganas de revisar puertas y ventanas o imágenes repetidas de la pistola.",Siento eso. Como si todavía estuviera ahí.,otro,train
Camila,Camila_082,81,E,"Eso no significa que esté loca ni que sea débil. Significa que su cuerpo acaba de vivir una amenaza extrema. En las primeras horas no buscamos que esté “normal”. Buscamos que esté segura, acompañada, hidratada, y que no tome decisiones impulsivas.",Me pasa todo.,otro,train
Camila,Camila_083,82,E,"Puede querer hacerlo. Pero como está mareada, con náuseas y temblor, espere a que llegue alguien. Una ducha sola ahora podría hacer que se descompense o se sienta más vulnerable. Si necesita hacer algo, lávese la cara con agua fría o cambie una prenda si está cerca, sin encerrarse en el baño.",Quiero ducharme. Me siento sucia.,otro,train
Camila,Camila_084,83,E,Su hermana no necesita verla bien. Necesita verla viva y acompañarla.,No quiero que me vea así.,otro,train
Camila,Camila_085,84,E,"Ese miedo tiene datos concretos: llaves, documentos y celular robados. Entonces vamos a responder con medidas concretas, pero no todas ahora. Primero: conserjería avisada. Segundo: red en proceso. Tercero: no abrir. Cuarto: después bloqueos y cerradura.",Tienen mi dirección. Tienen mis llaves. Tienen mi celular. Tienen mis fotos. Van a venir.,otro,train
Camila,Camila_086,85,E,"Sí hay que hacerlo, pero no en este segundo si está temblando y con náuseas. Cuando llegue su hermana o alguien de confianza, desde un dispositivo seguro, harán una lista: banco, tarjetas, celular, correo, documentos, seguro del auto, denuncia. Uno por uno.",Tengo que bloquear todo ahora.,otro,train
Camila,Camila_087,86,E,"Entiendo la urgencia. Si aparece una persona de confianza, pueden partir por banco y celular. Pero ahora no vamos a ponerla a resolver diez cosas sola al mismo tiempo mientras su cuerpo está en crisis.",¿Y si usan todo antes?,validacion,train
Camila,Camila_088,87,E,"Camila, la urgencia está hablando muy fuerte. Hagamos una sola cosa: anotar mentalmente el primer bloqueo. Banco. Después celular. Después denuncia. Pero espere apoyo para no hacerlo sola. Seguridad primero, trámites después.","No, tengo que hacerlo ahora. Ahora. Ahora.",otro,train
Camila,Camila_089,88,E,"Es comprensible. Denunciar puede sentirse muy difícil después de un asalto. No tiene que contarme detalles ahora. Pero sí conviene pedir orientación acompañada, especialmente por el auto, los documentos, las llaves y el arma. Puede partir entregando información básica y pedir pausas si se desregula. B — NUEVA REGULACIÓN ANTES DE LA LLEGADA",No quiero denunciar. No quiero contarle a nadie. No quiero que me pregunten.,validacion,train
Camila,Camila_090,89,E,"Camila, volvamos a su cuerpo. Del uno al diez, donde diez es el máximo miedo, ¿en cuánto está ahora?",No quiero denunciar. No quiero contarle a nadie. No quiero que me pregunten.,pregunta_cerrada,train
Camila,Camila_091,90,E,"Bien. No bajó mucho, pero bajó un punto. Eso importa. ¿Dónde siente más el miedo: pecho, guata, garganta, manos?",Nueve. Antes estaba en diez.,validacion,train
Camila,Camila_092,91,E,"Ponga una mano en el pecho o en la guata, donde le resulte menos incómodo.",En el pecho. Y en la guata.,directivo,train
Camila,Camila_093,92,E,"Bien. No tiene que cambiar nada. Solo note que la mano está ahí. Vamos con una vuelta de 4-4-4, solo si puede.",En la guata.,otro,train
Camila,Camila_094,93,E,Inhale: uno… dos… tres… cuatro. Mantenga: uno… dos… tres… cuatro. Suelte: uno… dos… tres… cuatro.,Ya.,directivo,train
Camila,Camila_095,94,E,¿Se pudo?,Ya.,otro,train
Camila,Camila_096,95,E,Un poco basta. ¿Otra vuelta o paramos?,Un poco.,otro,train
Camila,Camila_097,96,E,Bien. Usted decide. Suelte el aire largo una vez más.,Paramos.,otro,train
Camila,Camila_098,97,E,No abra. Vuelva a la pared. ¿Reconoce alguna voz?,Tocaron. Tocaron.,pregunta_cerrada|directivo,train
Camila,Camila_099,98,E,¿Reconoce la voz?,Es el conserje. Creo.,pregunta_cerrada,train
Camila,Camila_100,99,E,No abra si no quiere. Puede hablar desde adentro. Dígale que no va a abrir y que espere abajo o que confirme cuando llegue su hermana.,"Sí, creo.",directivo,train
Camila,Camila_101,100,E,Muy bien. No necesitó abrir para estar más segura.,"Sí, no se preocupe. Nadie sube sin autorización. Ya dejé aviso a seguridad y estoy intentando ubicar a su contacto de emergencia.",otro,train
Camila,Camila_102,101,E,"Su cuerpo reaccionó como si el peligro hubiera vuelto. Eso puede pasar. Pero comprobamos: era el conserje, usted no abrió y sigue protegida.",Pensé que eran ellos.,validacion,train
Camila,Camila_103,102,E,"No abra. Diga: “No abro sin confirmar con conserjería”. Luego use el citófono para verificar, sin abrir la puerta.",No sé quién es.,directivo,train
Camila,Camila_104,103,E,Bien. No abra todavía. Pida que suba con conserjería o que el conserje confirme desde la puerta.,Llegó. Creo que llegó.,otro,train
Camila,Camila_105,104,E,Bien. ¿Quiere abrir?,Es ella.,otro,train
Camila,Camila_106,105,E,Está bien. Dígale que espere. Primero exhale.,No puedo moverme.,otro,train
Camila,Camila_107,106,E,"Ahora, si quiere, abra sin sacar la cadena si tiene cadena. Si no tiene, abra despacio y déjela entrar.","Sí, Cami. Estoy aquí.",otro,train
Camila,Camila_108,107,E,¿Está acompañada ahora?,Entró. Está aquí.,pregunta_cerrada,train
Camila,Camila_109,108,E,¿Puede ponerme en altavoz un momento? Toque en pantalla.,Sí.,pregunta_cerrada,train
Camila,Camila_110,109,E,"Hola. Soy Matías, de la línea de apoyo. Camila sufrió una encerrona con arma hace aproximadamente 90 minutos. Está físicamente sin lesiones graves aparentes, pero está muy activada: palpitaciones, náuseas, miedo intenso, imágenes intrusivas y sensación de inseguridad. Lo principal ahora es que no quede sola ni se la presione a contar todo.",¿Aló?,otro,train
Camila,Camila_111,110,E,"Gracias. Primero acompañarla, agua, abrigo, respirar, seguridad de la puerta. Después, con calma: bloquear tarjetas y celular, avisar a administración, gestionar cerradura, denuncia acompañada y atención médica si los síntomas físicos aumentan.",Sí. Me quedo con ella.,otro,train
Camila,Camila_112,111,E,Eso es importante. No la fuercen a repetir el relato muchas veces esta noche.,No tienes que contar ahora.,otro,train
